domain,source_table,source_column,source_type,nullable,cdc_path,normalized_field,contract_type,dbt_source,downstream_use,status
account,customers,customer_id,text,false,after.customer_id,payload_after.customer_id,string,stg_customers.customer_id,identity primary reference,ALIGNED
account,customers,external_account_id,text,false,after.external_account_id,payload_after.external_account_id,string,stg_customers.external_account_id,strong identity link,ALIGNED
account,customers,tenant_id,text,false,after.tenant_id,tenant_id,string,stg_customers.tenant_id,tenant isolation,ALIGNED
account,customers,business_unit,text,false,after.business_unit,payload_after.business_unit,string,stg_customers.business_unit,Customer 360 segmentation,ALIGNED
account,customers,email,text,true,after.email,payload_after.email,string,stg_customers.email,survivorship and activation identifier,ALIGNED
account,customers,phone,text,true,after.phone,payload_after.phone,string,stg_customers.phone,survivorship and activation identifier,ALIGNED
account,customers,customer_status,text,false,after.customer_status,payload_after.customer_status,string,stg_customers.customer_status,current customer state,ALIGNED
account,customers,updated_at,timestamptz,false,after.updated_at,event timestamp,string,stg_customers.source_updated_at,recency and SCD history,ALIGNED
subscription,subscriptions,subscription_id,text,false,after.subscription_id,payload_after.subscription_id,string,stg_subscriptions.subscription_id,strong identity link and history key,ALIGNED
subscription,subscriptions,tenant_id,text,false,after.tenant_id,tenant_id,string,stg_subscriptions.tenant_id,tenant isolation,ALIGNED
subscription,subscriptions,business_unit,text,false,after.business_unit,payload_after.business_unit,string,stg_subscriptions.business_unit,Customer 360 segmentation,ALIGNED
subscription,subscriptions,external_account_id,text,false,after.external_account_id,payload_after.external_account_id,string,stg_subscriptions.external_account_id,strong identity link,ALIGNED
subscription,subscriptions,subscription_status,text,false,after.subscription_status,payload_after.subscription_status,string,stg_subscriptions.subscription_status,SCD2 lifecycle,ALIGNED
subscription,subscriptions,plan_name,text,false,after.plan_name,payload_after.plan_name,string,stg_subscriptions.plan_name,current plan and history,ALIGNED
subscription,subscriptions,mrr,numeric,false,after.mrr,payload_after.mrr,number,stg_subscriptions.mrr,customer value feature,ALIGNED
subscription,subscriptions,updated_at,timestamptz,false,after.updated_at,event timestamp,string,stg_subscriptions.source_updated_at,SCD2 validity ordering,ALIGNED
commerce,orders,order_id,text,false,after.order_id,payload_after.order_id,string,stg_orders.order_id,order fact key,ALIGNED
commerce,orders,tenant_id,text,false,after.tenant_id,tenant_id,string,stg_orders.tenant_id,tenant isolation,ALIGNED
commerce,orders,business_unit,text,false,after.business_unit,payload_after.business_unit,string,stg_orders.business_unit,domain context,ALIGNED
commerce,orders,order_customer_ref,text,false,after.order_customer_ref,payload_after.order_customer_ref,string,stg_orders.order_customer_ref,identity reference,ALIGNED
commerce,orders,subscription_id,text,false,after.subscription_id,payload_after.subscription_id,string,stg_orders.subscription_id,subscription relationship,ALIGNED
commerce,orders,order_status,text,false,after.order_status,payload_after.order_status,string,stg_orders.order_status,revenue calculation,ALIGNED
commerce,orders,gross_amount,numeric,false,after.gross_amount,payload_after.gross_amount,number,stg_orders.gross_amount,customer value feature,ALIGNED
product_engagement,engagement_events,engagement_event_id,text,false,after.engagement_event_id,payload_after.engagement_event_id,string,stg_engagement_events.engagement_event_id,activity fact key,ALIGNED
product_engagement,engagement_events,tenant_id,text,false,after.tenant_id,tenant_id,string,stg_engagement_events.tenant_id,tenant isolation,ALIGNED
product_engagement,engagement_events,business_unit,text,false,after.business_unit,payload_after.business_unit,string,stg_engagement_events.business_unit,domain context,ALIGNED
product_engagement,engagement_events,device_id,text,false,after.device_id,payload_after.device_id,string,stg_engagement_events.device_id,identity evidence,ALIGNED
product_engagement,engagement_events,customer_id,text,true,after.customer_id,payload_after.customer_id,string,stg_engagement_events.customer_id,identity evidence,ALIGNED
product_engagement,engagement_events,event_name,text,false,after.event_name,payload_after.event_name,string,stg_engagement_events.event_name,activity aggregation,ALIGNED
support,support_interactions,support_interaction_id,text,false,after.support_interaction_id,payload_after.support_interaction_id,string,stg_support_interactions.support_interaction_id,support fact key,ALIGNED
support,support_interactions,tenant_id,text,false,after.tenant_id,tenant_id,string,stg_support_interactions.tenant_id,tenant isolation,ALIGNED
support,support_interactions,business_unit,text,false,after.business_unit,payload_after.business_unit,string,stg_support_interactions.business_unit,domain context,ALIGNED
support,support_interactions,support_customer_ref,text,false,after.support_customer_ref,payload_after.support_customer_ref,string,stg_support_interactions.support_customer_ref,identity reference,ALIGNED
support,support_interactions,email,text,true,after.email,payload_after.email,string,stg_support_interactions.email,identity evidence,ALIGNED
support,support_interactions,status,text,false,after.status,payload_after.status,string,stg_support_interactions.status,open case feature,ALIGNED
support,support_interactions,csat_score,integer,true,after.csat_score,payload_after.csat_score,integer,stg_support_interactions.csat_score,support priority feature,ALIGNED
marketing_consent,marketing_engagement,marketing_touch_id,text,false,after.marketing_touch_id,payload_after.marketing_touch_id,string,stg_marketing_engagement.marketing_touch_id,consent event identity,ALIGNED
marketing_consent,marketing_engagement,tenant_id,text,false,after.tenant_id,tenant_id,string,stg_marketing_engagement.tenant_id,tenant isolation,ALIGNED
marketing_consent,marketing_engagement,business_unit,text,false,after.business_unit,payload_after.business_unit,string,stg_marketing_engagement.business_unit,domain context,ALIGNED
marketing_consent,marketing_engagement,email,text,false,after.email,payload_after.email,string,stg_marketing_engagement.email,identity and channel key,ALIGNED
marketing_consent,marketing_engagement,external_account_id,text,true,after.external_account_id,payload_after.external_account_id,string,stg_marketing_engagement.external_account_id,strong identity evidence,ALIGNED
marketing_consent,marketing_engagement,marketing_consent_status,text,false,after.marketing_consent_status,payload_after.marketing_consent_status,string,stg_marketing_engagement.marketing_consent_status,privacy eligibility,ALIGNED
marketing_consent,marketing_engagement,email_opt_in,boolean,false,after.email_opt_in,payload_after.email_opt_in,boolean,stg_marketing_engagement.email_opt_in,channel eligibility,ALIGNED
marketing_consent,marketing_engagement,sms_opt_in,boolean,false,after.sms_opt_in,payload_after.sms_opt_in,boolean,stg_marketing_engagement.sms_opt_in,channel eligibility,ALIGNED
marketing_consent,marketing_engagement,push_opt_in,boolean,false,after.push_opt_in,payload_after.push_opt_in,boolean,stg_marketing_engagement.push_opt_in,channel eligibility,ALIGNED
marketing_consent,marketing_engagement,unsubscribe_status,text,false,after.unsubscribe_status,payload_after.unsubscribe_status,string,stg_marketing_engagement.unsubscribe_status,fail-closed suppression,ALIGNED
marketing_consent,marketing_engagement,do_not_contact_flag,boolean,false,after.do_not_contact_flag,payload_after.do_not_contact_flag,boolean,stg_marketing_engagement.do_not_contact_flag,fail-closed suppression,ALIGNED
marketing_consent,marketing_engagement,updated_at,timestamptz,false,after.updated_at,event timestamp,string,stg_marketing_engagement.source_updated_at,latest consent selection,ALIGNED
